architecture,architecture_name,n_runs,strict_field_f1_mean,record_f1_mean,verified_provenance_precision_mean,task_success_mean,latency_seconds_mean
A1,Direct DOM Snapshot Agent,36,0.3340448037717687,0.3384259259259259,0.3357473544973545,0.2777777777777778,349.7239166666667
A2,Schema-State Ground-and-Verify Agent,36,0.4432929023929147,0.44374959024081834,0.5063106261022927,0.2777777777777778,339.9696666666667
A3,Playwright-MCP ReAct Agent,36,0.27754644824260105,0.2821692774221154,0.32987391193036353,0.05555555555555555,1005.7184722222222
