agent,architecture,architecture_name,model_key,model,n_runs,complete,strict_field_f1_mean,strict_field_f1_std,record_f1_mean,record_f1_std,record_recall_mean,record_recall_std,record_completeness_mean,record_completeness_std,schema_adherence_mean,schema_adherence_std,task_success_mean,task_success_std,selector_pair_coverage_mean,selector_pair_coverage_std,quote_coverage_mean,quote_coverage_std,verified_provenance_precision_mean,verified_provenance_precision_std,verified_provenance_recall_mean,verified_provenance_recall_std,latency_seconds_mean,latency_seconds_std,input_tokens_mean,input_tokens_std,output_tokens_mean,output_tokens_std,tool_actions_mean,tool_actions_std,browser_actions_mean,browser_actions_std,strict_field_f1_micro,field_f1_cluster_ci_low,field_f1_cluster_ci_high
A1__gemma,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,315.6775,16.139621999065753,199822.16666666666,50864.28273326674,23065.833333333332,2231.4023243990164,10,0.0,0,0.0,0.0,0.0,0.0
A1__qwen,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,12,True,0.058139534883720916,0.11064578526959426,0.06944444444444445,0.13216024351645986,0.04166666666666667,0.07929614610987591,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0.4930555555555556,0.27799864956191633,0.125,0.24425210522959862,0.02857142857142857,0.05582905262390825,332.04625,89.23418066691404,174492.25,9436.779382481947,21467.833333333332,6641.392759646036,10,0.0,0,0.0,0.05405405405405406,0.0,0.17441860465116277
A1__kimi,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,12,True,0.9439948764315853,0.10201676705985492,0.9458333333333333,0.10757309002241082,0.9333333333333333,0.1370688833684684,0.9,0.12792042981336627,1,0.0,0.8333333333333334,0.3892494720807615,1.0,0.0,0.9277777777777778,0.13076761200759288,0.8822420634920635,0.14226922523987356,0.8669642857142857,0.1953371389839098,401.448,56.33232713266707,521929.3333333333,211173.81882633312,11208.25,1988.187348269318,10,0.0,0,0.0,0.9492273730684326,0.8964285714285714,0.9915611814345991
A2__gemma,A2,Schema-State Ground-and-Verify Agent,gemma,gemma4-131k:latest,12,True,0.21986638322465082,0.22231628275153145,0.2210844710844711,0.2248778577597613,0.14166666666666666,0.15050420310248863,0.13333333333333333,0.1435481125130547,1,0.0,0,0.0,0.5833333333333334,0.5149286505444373,0.5399305555555556,0.4815453420564142,0.5138888888888888,0.46307237764309256,0.1201923076923077,0.12081729503473866,575.6821666666667,56.385144202147536,62890.666666666664,12545.332651362152,51821.416666666664,4326.567639350943,22,1.2792042981336627,0,0.0,0.25426944971537,0.05673758865248227,0.40199516795261475
A2__qwen,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,12,True,0.2576313715731409,0.41819278204291593,0.2601642996379839,0.4173750389860877,0.24166666666666667,0.4010403138505322,0.24166666666666667,0.4010403138505322,1,0.0,0.08333333333333333,0.28867513459481287,0.5,0.5222329678670935,0.4375,0.4661861703810458,0.21516203703703704,0.30367041198052286,0.1705357142857143,0.27778829731678684,176.21575,18.93260887811868,44349,9899.011291308569,13130.833333333334,1458.9604539056588,21.25,0.9653072991634228,0,0.0,0.37623762376237624,0.0,0.7090643274853802
A2__kimi,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,12,True,0.8523809523809524,0.27155385579777624,0.85,0.2746899078134205,0.85,0.2746899078134205,0.85,0.2746899078134205,1,0.0,0.75,0.45226701686664544,1.0,0.0,1.0,0.0,0.7898809523809524,0.2576736645019437,0.7898809523809524,0.2576736645019437,268.0110833333333,42.39637219784116,34352.083333333336,9391.99834925583,9544.916666666666,1354.8538638629047,22,1.2792042981336627,0,0.0,0.8649237472766883,0.5571428571428572,1.0
A3__gemma,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,12,True,0.045454545454545456,0.08223036670302644,0.045454545454545456,0.08223036670302644,0.025,0.045226701686664546,0.025,0.045226701686664546,0.75,0.45226701686664544,0,0.0,0.25,0.45226701686664544,0.25,0.45226701686664544,0.1875,0.3392002626499841,0.01875,0.033920026264998404,1866.459,151.68426286443588,719718.25,101709.62411074972,156611.08333333334,11640.573200962644,21,0.0,21,0.0,0.05095541401273886,0.0,0.13636363636363635
A3__qwen,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,255.01333333333332,73.48163646707106,380328.8333333333,96716.89599203096,15696.166666666666,6139.692912565421,26.5,7.728342171984411,26.5,7.728342171984411,0.0,0.0,0.0
A3__kimi,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,12,True,0.7871847992732577,0.22626287614301188,0.8010532868118008,0.21452404730435734,0.75,0.23548788812706578,0.725,0.23403573930647276,0.5833333333333334,0.5149286505444373,0.16666666666666666,0.3892494720807615,1.0,0.0,0.9976190476190476,0.008247860988423228,0.8021217357910906,0.2208697871763603,0.6756333943833944,0.20950050132714584,895.6830833333333,262.6261423961855,298554.9166666667,172394.47296901705,28184.916666666668,9022.85136808792,33.916666666666664,10.112623374533015,33.916666666666664,10.112623374533015,0.8032786885245903,0.5756703495509465,0.9414149585701884
